URL,Size,# of outlinks,Content-type
https://www.foxnews.com/,219561,374,TEXT/HTML
https://www.foxnews.com/politics/bernie-sanders-free-childcare-pre-k-wealth-tax,73085,167,TEXT/HTML
https://www.foxnews.com/lifestyle/fitness-influencer-reveals-loose-skin-on-instagram,68870,171,TEXT/HTML
https://www.foxnews.com/lifestyle/mardi-gras-around-the-country,66957,169,TEXT/HTML
https://www.foxnews.com/entertainment,120434,252,TEXT/HTML
https://www.foxnews.com/world/israel-gaza-palestinian-rockets-syria-border,73571,168,TEXT/HTML
https://www.foxnews.com/entertainment/onward-movie-feature-lgbtq-animated-character-lena-waithe,72341,189,TEXT/HTML
https://www.foxnews.com/us/police-dog-killed-in-line-of-duty-to-be-honored-with-custom-painted-casket,68627,168,TEXT/HTML
https://www.foxnews.com/lifestyle/fitness-influencer-reveals-loose-skin-on-instagram.amp,66949,136,TEXT/HTML
https://www.foxnews.com/media/candace-owens-democrats-bernie-sanders-chaos,76247,173,TEXT/HTML
https://www.foxnews.com/category/world/scandals,65017,176,TEXT/HTML
https://www.foxnews.com/category/tech/topics/security,63291,176,TEXT/HTML
https://www.foxnews.com/media/brandon-judd-greyhound-sanctuary-buses-policy,77860,174,TEXT/HTML
https://www.foxnews.com/lifestyle/pit-bull-abusive-dad-boy-drops-at-shelter,66500,170,TEXT/HTML
https://www.foxnews.com/shows/fox-nation,107639,243,TEXT/HTML
https://www.foxnews.com/science/dinosaurs-were-warm-blooded,75010,174,TEXT/HTML
https://www.foxnews.com/lifestyle/model-quitting-social-real-body,67858,166,TEXT/HTML
https://www.foxnews.com/food-drink/dole-whip-alcoholic-disney-world-new,66481,169,TEXT/HTML
https://www.foxnews.com/shows,53882,252,TEXT/HTML
https://www.foxnews.com/faith-values,111233,224,TEXT/HTML
https://www.foxnews.com/entertainment/meghan-markle-prince-harry-queen-does-not-own-word-royal,76813,185,TEXT/HTML
https://www.foxnews.com/category/health/healthy-living,63440,176,TEXT/HTML
https://www.foxnews.com/opinion/wife-arguments-joshua-rogers,79870,170,TEXT/HTML
https://www.foxnews.com/opinion/andrew-mccarthy-stone-sentencing-ends-russia-collusion-part-i-but-dems-cooking-up-even-weaker-sequel,72148,168,TEXT/HTML
https://www.foxnews.com/science/mad-mike-hughes-64-homemade-rocket-daredevil-killed-in-mishap,65934,166,TEXT/HTML
https://www.foxnews.com/category/style-and-beauty/modeling,62431,176,TEXT/HTML
https://www.foxnews.com/tech/chinese-hacking-major-cases-cyber-intrusion-by-beijing,77967,183,TEXT/HTML
https://www.foxnews.com/food-drink/national-margarita-day-celebrity-chef-geoffrey-zakarian-perfect-margarita,68211,168,TEXT/HTML
https://www.foxnews.com/politics.html,117687,221,TEXT/HTML
https://www.foxnews.com/us/indiana-mom-fire-truck-rescue-highway,70945,172,TEXT/HTML
https://www.foxnews.com/politics/russia-trump-intelligence-no-evidence-briefer,95768,186,TEXT/HTML
https://www.foxnews.com/opinion/peggy-grande-blue-states-for-trump-heres-how-voters-there-can-boost-presidents-reelection,84616,171,TEXT/HTML
https://www.foxnews.com/media/martha-maccallum-unknown-valor-iwo-jima-fox-nation,92323,178,TEXT/HTML
https://www.foxnews.com/lifestyle/man-91-internet-sensation-working-out-overalls,73571,170,TEXT/HTML
https://www.foxnews.com/category/us/crime,63315,174,TEXT/HTML
https://www.foxnews.com/entertainment/australian-instagram-star-slammed-australia-fires,71494,186,TEXT/HTML
https://www.foxnews.com/closed-captioning,38251,147,TEXT/HTML
https://www.foxnews.com/sports/kobe-bryant-memorial-where-to-watch-and-what-to-know-about-the-service,75328,178,TEXT/HTML
https://www.foxnews.com/health/global-outbreak-causes-pandemic-fears-after-cases-jump-in-italy-and-south-korea,82281,171,TEXT/HTML
https://www.foxnews.com/sports/pilot-in-kobe-bryant-crash-once-violated-faa-rules-on-low-visibility-flying-report,70601,165,TEXT/HTML
https://www.foxnews.com/travel/coronavirus-flu-outbreaks-disinfect-plane-seats,78132,179,TEXT/HTML
https://www.foxnews.com/world/trump-fans-india-worship-president-build-wall,77677,173,TEXT/HTML
https://www.foxnews.com/us/philip-haney-dhs-whistleblower-during-obama-era-found-dead-police-say,73591,173,TEXT/HTML
https://www.foxnews.com/food-drink/costco-require-membership-food-court,64922,169,TEXT/HTML
https://www.foxnews.com/entertainment/b-smith-dead-70,71199,181,TEXT/HTML
https://www.foxnews.com/lifestyle/parrot-shouts-fire-warns-tennessee-family,68031,168,TEXT/HTML
https://www.foxnews.com/go,41934,181,TEXT/HTML
https://www.foxnews.com/great-outdoors/wisconsin-hunter-record-breaking-buck,60610,166,TEXT/HTML
https://www.foxnews.com/science/new-moon-on-deck-what-you-need-to-know,72147,174,TEXT/HTML
https://www.foxnews.com/entertainment/8-stars-rejected-american-idol,97352,218,TEXT/HTML
https://www.foxnews.com/category/us/immigration,64513,174,TEXT/HTML
https://www.foxnews.com/category/us/economy,62492,176,TEXT/HTML
https://www.foxnews.com/category/world/environment,62632,175,TEXT/HTML
https://www.foxnews.com/apps-products?pid=AppArticleLink,51596,184,TEXT/HTML
https://www.foxnews.com/media/sara-carter-democrats-russian-tools-putin-election-interference,79809,180,TEXT/HTML
https://www.foxnews.com/newsletters?cmpid=fnfirstnl,60335,157,TEXT/HTML
https://www.foxnews.com/about/rss/,30351,142,TEXT/HTML
https://www.foxnews.com/category/us/education,63945,176,TEXT/HTML
https://www.foxnews.com/lifestyle/giorgio-armani-designers-rape-women,69800,169,TEXT/HTML
https://www.foxnews.com/contact,34345,147,TEXT/HTML
https://www.foxnews.com/us/byu-honor-code-homosexual-behavior-mormon,72309,172,TEXT/HTML
https://www.foxnews.com/politics/judge-amy-berman-jackson-roger-stone-recusal-request-denied,78744,176,TEXT/HTML
